DrugId|Drugname|TextSingular|TextPlural
28100009555|Kemadrin|tablet|tabletter
28100010554|Marzine|tablet|tabletter
28100020455|Eltroxin|tablet|tabletter
28100021255|Postafen|tablet|tabletter
28100042855|Methergin|tablet|tabletter
28100049355|Hydrocortison med Terramycin|påsmøring|påsmøringer
28100052255|Terramycin-Polymyxin B|påsmøring|påsmøringer
28100074555|Paraghurt|tablet|tabletter
28100076255|Aspirin|tablet|tabletter
28100096555|Neo-mercazole|tablet|tabletter
28100103155|Hirudoid|påsmøring|påsmøringer
28100105055|Inotyol|påsmøring|påsmøringer
28100107155|Benylan|ml|ml
28100122055|Buscopan|tablet|tabletter
28100137555|Salazopyrin|tablet|tabletter
28100142255|Phenergan|ml|ml
28100174756|Atarax|tablet|tabletter
28100185956|Arcosal|tablet|tabletter
28100186556|Silan|påsmøring|påsmøringer
28100187056|Ritalin|tablet|tabletter
28100225957|Perilax|tablet|tabletter
28100230857|Ultracortenol|stribe|striber
28100231857|Akineton|tablet|tabletter
28100232757|Dulcolax|tablet|tabletter
28100234057|Stemetil|tablet|tabletter
28100245757|Medrol|tablet|tabletter
28100259658|Plaquenil|tablet|tabletter
28100270558|Sendoxan|tablet|tabletter
28100272558|Glycifer|dråbe|dråber
28100280558|Noacid|tablet|tabletter
28100286458|Terramycin-Polymyxin B|stribe|striber
28100289759|Antabus|brusetablet|brusetabletter
28100290259|Strepsils|sugetablet|sugetabletter
28100304259|Serenase|ml|ml
28100312259|Klyx|rektaltube|rektaltuber
28100315259|Syntocinon|pust|pust
28100320959|Dulcolax|rektal stikpille|rektale stikpiller
28100327560|Centyl med Kaliumklorid|tablet|tabletter
28100327860|Nozinan|tablet|tabletter
28100329660|Marplan|tablet|tabletter
28100330160|Regenon|kapsel|kapsler
28100335260|Xylocain|pust|pust
28100338960|Ercoril|tablet|tabletter
28100368661|Saroten|tablet|tabletter
28100375161|Ercoquin|tablet|tabletter
28100385861|Proctosedyl|påsmøring|påsmøringer
28100389161|Vanquin|tablet|tabletter
28100396662|Tetralysal|kapsel|kapsler
28100399462|Fucidin|tablet|tabletter
28100400362|Zarondan|ml|ml
28100400562|Synalar|påsmøring|påsmøringer
28100401662|Pred-Clysma|plastflaske|plastflasker
28100405762|Sofradex|dråbe|dråber
28100408962|Microlax|rektaltube|rektaltuber
28100417072|Fucidin|ml|ml
28100420262|Florinef|tablet|tabletter
28100427563|Hydrocortison m.terramycin+polymyxin-B|dråbe|dråber
28100430763|Serenase|tablet|tabletter
28100435763|Provera|tablet|tabletter
28100439163|Noritren|tablet|tabletter
28100444263|Noritren|tablet|tabletter
28100445563|Lysantin|tablet|tabletter
28100454364|Tegretol|tablet|tabletter
28100457064|Betnovat|påsmøring|påsmøringer
28100458064|Celestonvalerat|påsmøring|påsmøringer
28100466264|Calcium-Sandoz|brusetablet|brusetabletter
28100474065|Buronil|tablet|tabletter
28100474265|Fucidin|påsmøring|påsmøringer
