ReleaseNumber|DrugId|DrugName|DosageUnitCode
14|28100009555|Kemadrin|36
14|28100010554|Marzine|36
14|28100020455|Eltroxin|36
14|28100021255|Postafen|36
14|28100042855|Methergin|36
14|28100049355|Hydrocortison med Terramycin|25
14|28100052255|Terramycin-Polymyxin B|25
14|28100074555|Paraghurt|36
14|28100076255|Aspirin|36
14|28100096555|Neo-mercazole|36
14|28100103155|Hirudoid|25
14|28100105055|Inotyol|25
14|28100107155|Benylan|17
14|28100122055|Buscopan|36
14|28100137555|Salazopyrin|36
14|28100142255|Phenergan|17
14|28100174756|Atarax|36
14|28100185956|Arcosal|36
14|28100186556|Silan|25
14|28100187056|Ritalin|36
14|28100225957|Perilax|36
14|28100230857|Ultracortenol|31
14|28100231857|Akineton|36
14|28100232757|Dulcolax|36
14|28100234057|Stemetil|36
14|28100245757|Medrol|36
14|28100259658|Plaquenil|36
14|28100270558|Sendoxan|36
14|28100272558|Glycifer|7
14|28100280558|Noacid|36
14|28100286458|Terramycin-Polymyxin B|31
14|28100289759|Antabus|4
14|28100290259|Strepsils|34
14|28100304259|Serenase|17
14|28100312259|Klyx|28
14|28100315259|Syntocinon|24
14|28100320959|Dulcolax|26
14|28100327560|Centyl med Kaliumklorid|36
14|28100327860|Nozinan|36
14|28100329660|Marplan|36
14|28100330160|Regenon|14
14|28100335260|Xylocain|24
14|28100338960|Ercoril|36
14|28100368661|Saroten|36
14|28100375161|Ercoquin|36
14|28100385861|Proctosedyl|25
14|28100389161|Vanquin|36
14|28100396662|Tetralysal|14
14|28100399462|Fucidin|36
14|28100400362|Zarondan|17
14|28100400562|Synalar|25
14|28100401662|Pred-Clysma|21
14|28100405762|Sofradex|7
14|28100408962|Microlax|28
14|28100417072|Fucidin|17
14|28100420262|Florinef|36
14|28100427563|Hydrocortison m.terramycin+polymyxin-B|7
14|28100430763|Serenase|36
14|28100435763|Provera|36
14|28100439163|Noritren|36
14|28100444263|Noritren|36
14|28100445563|Lysantin|36
14|28100454364|Tegretol|36
14|28100457064|Betnovat|25
14|28100458064|Celestonvalerat|25
14|28100466264|Calcium-Sandoz|4
14|28100474065|Buronil|36
14|28100474265|Fucidin|25
14|28100474965|Synalar 0,025 % med Chinoform|25
14|28100478565|Stesolid|36
14|28100480965|Neulactil|36
14|28100481265|Mylicon|7
14|28100484765|Betnovat med Chinoform|25
14|28100486665|Aeropax|41
14|28100486965|Egazil|36
14|28100487965|Maxidex|7
14|28100489065|Lacril|7
14|28100489665|Mucomyst|17
14|28100493671|Kaleorid|36
14|28100510166|Progynon|36
14|28100515267|Betnovat|25
14|28100520967|Imurel|36
14|28100521967|Pacisyn|36
14|28100526567|Tavegyl|36
14|28100528167|Nozinan|36
14|28100529867|Cardopax|36
14|28100533567|Metronidazol "Actavis"|36
14|28100535568|Rimactan|14
14|28100538768|Confortid|26
14|28100539968|Sinquan|14
14|28100540268|Locacorten-Vioform|7
14|28100552969|Tetralysal|14
14|28100559669|Ventoline|24
14|28100560369|Dipiperon|36
14|28100560469|Ferro Duretter|36
14|28100565269|Synalar|25
14|28100565569|Flagyl|45
14|28100570370|Sandomigrin|36
14|28100571270|Stesolid|26
14|28100571570|Toilax|28
14|28100571670|Toilax|36
14|28100573870|Rimactan|14
14|28100575570|Orap|36
14|28100575670|Orap|36
14|28100579370|Temesta|36
14|28100582070|Hirudoid|25
14|28100582370|Ovestin|36
14|28100583070|Apozepam|36
14|28100583670|Haiprex|36
14|28100583770|Brentan|25
14|28100583870|Brentan|1
14|28100590071|Dalacin|14
14|28100591671|Primperan|26
14|28100592071|Keflex|36
14|28100594371|Burinex|36
14|28100597671|Provera|36
14|28100599271|Mydriacyl|7
14|28100599471|Locoid|25
14|28100599571|Locoid|25
14|28100599671|Locoid|25
14|28100599871|Litarex|36
14|28100600471|Saroten Retard|14
14|28100600571|Ventoline|16
14|28100602871|Urispadol|36
14|28100602971|Bricanyl|17
14|28100604472|Metosyn|25
14|28100606772|Minirin|17
14|28100607472|Lioresal|36
14|28100608472|Canesten|25
14|28100608672|Canesten|44
