ReleaseNumber|DrugId|DosageStructureCode
14|28100009555|1
14|28100009555|2
14|28100009555|3
14|28100009555|4
14|28100010554|5
14|28100010554|6
14|28100010554|2
14|28100020455|7
14|28100020455|8
14|28100020455|9
14|28100021255|5
14|28100021255|10
14|28100021255|6
14|28100042855|2
14|28100042855|3
14|28100049355|11
14|28100049355|12
14|28100049355|12
14|28100049355|13
14|28100049355|12
14|28100049355|14
14|28100052255|14
14|28100074555|15
14|28100074555|16
14|28100074555|17
14|28100076255|3
14|28100076255|2
14|28100076255|18
14|28100076255|19
14|28100096555|15
14|28100096555|7
14|28100096555|16
14|28100096555|2
14|28100103155|13
14|28100103155|11
14|28100105055|14
14|28100105055|20
14|28100105055|11
14|28100107155|21
14|28100107155|22
14|28100107155|23
14|28100107155|24
14|28100107155|25
14|28100107155|26
14|28100107155|27
14|28100122055|3
14|28100122055|2
14|28100137555|3
14|28100137555|28
14|28100137555|16
14|28100142255|29
14|28100142255|30
14|28100142255|26
14|28100174756|2
14|28100174756|31
14|28100174756|15
14|28100174756|7
14|28100185956|15
14|28100185956|2
14|28100185956|7
14|28100185956|16
14|28100186556|14
14|28100187056|32
14|28100187056|16
14|28100187056|15
14|28100187056|2
14|28100187056|33
14|28100187056|7
14|28100187056|1
14|28100187056|3
14|28100225957|34
14|28100225957|7
14|28100225957|35
14|28100225957|9
14|28100230857|36
14|28100230857|37
14|28100230857|38
14|28100230857|39
14|28100231857|2
14|28100231857|1
14|28100231857|3
14|28100232757|35
14|28100232757|34
14|28100232757|7
14|28100232757|9
14|28100234057|3
14|28100234057|2
14|28100259658|9
14|28100259658|7
14|28100259658|40
14|28100259658|41
14|28100259658|42
14|28100272558|43
14|28100272558|44
14|28100272558|45
14|28100272558|46
14|28100272558|47
14|28100280558|48
14|28100280558|28
14|28100280558|16
14|28100280558|49
14|28100286458|38
14|28100286458|37
14|28100286458|39
14|28100289759|50
14|28100289759|51
14|28100289759|52
14|28100304259|21
14|28100304259|53
14|28100304259|54
14|28100304259|55
14|28100304259|56
14|28100312259|57
14|28100312259|58
14|28100312259|59
14|28100312259|60
14|28100312259|61
14|28100315259|62
14|28100320959|63
14|28100320959|64
14|28100320959|65
14|28100320959|66
14|28100327560|15
14|28100327560|7
14|28100327560|9
14|28100327560|16
14|28100327860|3
14|28100327860|2
14|28100329660|67
14|28100329660|68
14|28100330160|69
14|28100335260|70
14|28100338960|2
14|28100338960|71
14|28100338960|3
14|28100368661|72
14|28100368661|71
14|28100368661|15
14|28100368661|2
14|28100375161|73
14|28100375161|32
14|28100375161|7
14|28100385861|11
14|28100385861|13
14|28100389161|74
14|28100396662|75
14|28100396662|76
14|28100396662|77
14|28100396662|78
14|28100396662|79
14|28100396662|80
14|28100399462|16
14|28100399462|3
14|28100399462|2
14|28100399462|15
14|28100400362|81
14|28100400362|30
14|28100400362|26
14|28100400562|14
14|28100400562|11
14|28100400562|13
14|28100400562|20
14|28100401662|82
14|28100405762|83
14|28100405762|84
14|28100405762|85
14|28100405762|86
14|28100405762|87
14|28100405762|88
14|28100405762|89
14|28100405762|90
14|28100405762|91
14|28100405762|92
14|28100405762|93
14|28100405762|94
14|28100405762|86
14|28100405762|95
14|28100405762|96
14|28100408962|61
14|28100408962|60
14|28100408962|59
14|28100408962|57
14|28100408962|58
14|28100417072|97
14|28100417072|24
14|28100417072|26
14|28100417072|98
14|28100417072|30
14|28100417072|21
14|28100420262|73
14|28100420262|32
14|28100420262|7
14|28100420262|9
14|28100427563|86
14|28100427563|89
14|28100427563|88
14|28100427563|95
14|28100427563|83
14|28100427563|84
14|28100427563|90
14|28100427563|94
14|28100427563|87
14|28100427563|85
14|28100427563|91
14|28100427563|93
14|28100430763|3
14|28100430763|2
14|28100435763|99
14|28100435763|99
14|28100435763|100
14|28100439163|9
14|28100439163|7
14|28100439163|8
14|28100444263|17
14|28100444263|15
14|28100444263|16
14|28100445563|15
14|28100445563|16
14|28100454364|2
14|28100454364|16
14|28100454364|15
14|28100454364|4
14|28100454364|3
14|28100457064|13
14|28100457064|14
14|28100457064|11
14|28100457064|20
14|28100458064|14
14|28100458064|20
14|28100458064|11
14|28100458064|13
14|28100466264|101
14|28100466264|102
14|28100474065|3
14|28100474065|2
14|28100474065|4
14|28100474265|13
14|28100474265|11
14|28100474965|14
14|28100474965|11
14|28100474965|13
14|28100474965|20
14|28100478565|7
14|28100478565|15
14|28100478565|2
