drugid|pname|enhed_e|enhed_f|kode|iteration|type|mapning|tekst
28100009555|Kemadrin|tablet|tabletter|0000001|.| | | 
28100009555|Kemadrin|tablet|tabletter|0000094|1|N daglig|0.5;0.5;0.5| 
28100009555|Kemadrin|tablet|tabletter|0000038|1|N daglig|1;1;1| 
28100009555|Kemadrin|tablet|tabletter|0000039|1|N daglig|2;2;2| 
28100009555|Kemadrin|tablet|tabletter|0000059|1|N daglig|3;3;3| 
28100010554|Marzine|tablet|tabletter|0000205|0|PN|0.5|, 1 time før virkning ønskes
28100010554|Marzine|tablet|tabletter|0000206|0|PN|1|, 1 time før virkning ønskes
28100010554|Marzine|tablet|tabletter|0000038|1|N daglig|1;1;1| 
28100010554|Marzine|tablet|tabletter|0000001|.| | | 
28100020455|Eltroxin|tablet|tabletter|0000026|1|N daglig|1| 
28100020455|Eltroxin|tablet|tabletter|0000024|1|N daglig|2| 
28100020455|Eltroxin|tablet|tabletter|0000083|1|N daglig|3| 
28100020455|Eltroxin|tablet|tabletter|0000001|0|FT|Dosering efter skriftlig anvisning| 
28100021255|Postafen|tablet|tabletter|0000001|.| | | 
28100021255|Postafen|tablet|tabletter|0000205|0|PN|0.5|, 1 time før virkning ønskes
28100021255|Postafen|tablet|tabletter|0000208|0|PN|2|, 1 time før virkning ønskes
28100021255|Postafen|tablet|tabletter|0000206|0|PN|1|, 1 time før virkning ønskes
28100042855|Methergin|tablet|tabletter|0000038|1|N daglig|1;1;1| 
28100042855|Methergin|tablet|tabletter|0000039|1|N daglig|2;2;2| 
28100042855|Methergin|tablet|tabletter|0000001|.| | | 
28100049355|Hydrocortison med Terramycin|påsmøring|påsmøringer|0000104|1|N daglig|1;1| 
28100049355|Hydrocortison med Terramycin|påsmøring|påsmøringer|0000409|1|N daglig|1;1|i det inficerede øre
28100049355|Hydrocortison med Terramycin|påsmøring|påsmøringer|0000408|1|N daglig|1;1|i det inficerede øre
28100049355|Hydrocortison med Terramycin|påsmøring|påsmøringer|0000103|1|N daglig|1;1;1| 
28100049355|Hydrocortison med Terramycin|påsmøring|påsmøringer|0000001|.| | | 
28100049355|Hydrocortison med Terramycin|påsmøring|påsmøringer|0000200|1|N daglig|1;1|i det inficerede øre
28100049355|Hydrocortison med Terramycin|påsmøring|påsmøringer|0000234|0|PN|1| 
28100049555|Heparin "Leo"| | | |.| | | 
28100052255|Terramycin-Polymyxin B|påsmøring|påsmøringer|0000001|.| | | 
28100052255|Terramycin-Polymyxin B|påsmøring|påsmøringer|0000234|0|PN|1| 
28100052255|Terramycin-Polymyxin B|påsmøring|påsmøringer|0000233|.| | | 
28100074555|Paraghurt|tablet|tabletter|0000015|1|N daglig|1;1| 
28100074555|Paraghurt|tablet|tabletter|0000003|1|N daglig|2;2| 
28100074555|Paraghurt|tablet|tabletter|0000050|1|N daglig|3;3| 
28100076255|Aspirin|tablet|tabletter|0000039|1|N daglig|2;2;2| 
28100076255|Aspirin|tablet|tabletter|0000038|1|N daglig|1;1;1| 
28100076255|Aspirin|tablet|tabletter|0000001|.| | | 
28100076255|Aspirin|tablet|tabletter|0001013|1|PN|2;2;2;2| 
28100076255|Aspirin|tablet|tabletter|0001012|1|PN|1;1;1;1;1;1;1;1| 
28100096555|Neo-mercazole|tablet|tabletter|0000001|.| | | 
28100096555|Neo-mercazole|tablet|tabletter|0000015|1|N daglig|1;1| 
28100096555|Neo-mercazole|tablet|tabletter|0000026|1|N daglig|1| 
28100096555|Neo-mercazole|tablet|tabletter|0000003|1|N daglig|2;2| 
28100096555|Neo-mercazole|tablet|tabletter|0000038|1|N daglig|1;1;1| 
28100103155|Hirudoid|påsmøring|påsmøringer|0000001|.| | | 
28100103155|Hirudoid|påsmøring|påsmøringer|0000103|1|N daglig|1;1;1| 
28100103155|Hirudoid|påsmøring|påsmøringer|0000104|1|N daglig|1;1| 
28100105055|Inotyol|påsmøring|påsmøringer|0000234|0|PN|1| 
28100105055|Inotyol|påsmøring|påsmøringer|0000001|.| | | 
28100105055|Inotyol|påsmøring|påsmøringer|0000232|1|N daglig|1| 
28100105055|Inotyol|påsmøring|påsmøringer|0000104|1|N daglig|1;1| 
28100107155|Benylan|ml|ml|0000036|1|N daglig|5;5;5| 
28100107155|Benylan|ml|ml|0000156|1|N daglig|2.5;2.5;2.5;2.5| 
28100107155|Benylan|ml|ml|0000938|1|PN|10;10;10;10;10|ved hoste
28100107155|Benylan|ml|ml|0000124|1|N daglig|2.5;2.5;2.5| 
28100107155|Benylan|ml|ml|0000939|.| | | 
28100107155|Benylan|ml|ml|0000941|.| | | 
28100107155|Benylan|ml|ml|0000020|1|N daglig|5;5;5;5| 
28100107155|Benylan|ml|ml|0000037|1|N daglig|10;10| 
28100107155|Benylan|ml|ml|0000001|.| | | 
28100107155|Benylan|ml|ml|0000008|1|N daglig|10;10;10;10| 
28100110949|Xylocain| | | |.| | | 
28100111155|Xylocain-adrenalin| | | |.| | | 
28100122055|Buscopan|tablet|tabletter|0000001|.| | | 
28100122055|Buscopan|tablet|tabletter|0000039|1|N daglig|2;2;2| 
28100122055|Buscopan|tablet|tabletter|0000038|1|N daglig|1;1;1| 
28100136355|Macrodex 60 mg/ml med Natriumklorid| | | |.| | | 
28100137555|Salazopyrin|tablet|tabletter|0000039|1|N daglig|2;2;2| 
28100137555|Salazopyrin|tablet|tabletter|0000004|1|N daglig|2;2;2;2| 
28100137555|Salazopyrin|tablet|tabletter|0000001|.| | | 
28100137555|Salazopyrin|tablet|tabletter|0000003|1|N daglig|2;2| 
28100142255|Phenergan|ml|ml|0000011|1|N daglig|15;15| 
28100142255|Phenergan|ml|ml|0000019|1|N daglig|5;5| 
28100142255|Phenergan|ml|ml|0000001|.| | | 
28100142255|Phenergan|ml|ml|0000007|1|N daglig|10;10| 
28100161255|Konakion Novum| | | |.| | | 
28100161355|Heparin "Leo"| | | |.| | | 
28100165055|Solu-cortef| | | |.| | | 
28100165654|Hibitane| | | |.| | | 
28100174756|Atarax|tablet|tabletter|0000038|1|N daglig|1;1;1| 
28100174756|Atarax|tablet|tabletter|0000016|1|N daglig|1;1;1;1| 
28100174756|Atarax|tablet|tabletter|0000015|1|N daglig|1;1| 
28100174756|Atarax|tablet|tabletter|0000026|1|N daglig|1| 
28100174756|Atarax|tablet|tabletter|0000001|.| | | 
28100185956|Arcosal|tablet|tabletter|0000015|1|N daglig|1;1| 
28100185956|Arcosal|tablet|tabletter|0000038|1|N daglig|1;1;1| 
28100185956|Arcosal|tablet|tabletter|0000026|1|N daglig|1| 
28100185956|Arcosal|tablet|tabletter|0000001|.| | | 
28100185956|Arcosal|tablet|tabletter|0000003|1|N daglig|2;2| 
28100186556|Silan|påsmøring|påsmøringer|0000233|.| | | 
28100186556|Silan|påsmøring|påsmøringer|0000001|.| | | 
28100186556|Silan|påsmøring|påsmøringer|0000234|0|PN|1| 
28100187056|Ritalin|tablet|tabletter|0000028|1|N daglig|0.5| 
28100187056|Ritalin|tablet|tabletter|0000003|1|N daglig|2;2| 
28100187056|Ritalin|tablet|tabletter|0000015|1|N daglig|1;1| 
28100187056|Ritalin|tablet|tabletter|0000038|1|N daglig|1;1;1| 
28100187056|Ritalin|tablet|tabletter|0000027|1|N daglig|0.5;0.5| 
28100187056|Ritalin|tablet|tabletter|0000026|1|N daglig|1| 
28100187056|Ritalin|tablet|tabletter|0000094|1|N daglig|0.5;0.5;0.5| 
28100187056|Ritalin|tablet|tabletter|0000039|1|N daglig|2;2;2| 
28100187056|Ritalin|tablet|tabletter|0000001|.| | | 
28100225957|Perilax|tablet|tabletter|0000105|1|M+M+A+N|0+0+1+0| 
28100225957|Perilax|tablet|tabletter|0000026|1|N daglig|1| 
28100225957|Perilax|tablet|tabletter|0000106|1|M+M+A+N|0+0+2+0| 
28100225957|Perilax|tablet|tabletter|0000001|.| | | 
28100225957|Perilax|tablet|tabletter|0000024|1|N daglig|2| 
28100230857|Ultracortenol|stribe|striber|0000419|1|N daglig|2;2|, 1 i hvert øje
28100230857|Ultracortenol|stribe|striber|0000411|1|M+M+A+N|0+0+0+2|, 1 i hvert øje
28100230857|Ultracortenol|stribe|striber|0000420|1|N daglig|2;2;2|, 1 i hvert øje
28100230857|Ultracortenol|stribe|striber|0000184|1|N daglig|2;2;2;2|, 1 i hvert øje
28100230857|Ultracortenol|stribe|striber|0000001|.| | | 
28100231857|Akineton|tablet|tabletter|0000001|.| | | 
28100231857|Akineton|tablet|tabletter|0000038|1|N daglig|1;1;1| 
28100231857|Akineton|tablet|tabletter|0000094|1|N daglig|0.5;0.5;0.5| 
28100231857|Akineton|tablet|tabletter|0000039|1|N daglig|2;2;2| 
28100232757|Dulcolax|tablet|tabletter|0000106|1|M+M+A+N|0+0+2+0| 
28100232757|Dulcolax|tablet|tabletter|0000105|1|M+M+A+N|0+0+1+0| 
28100232757|Dulcolax|tablet|tabletter|0000026|1|N daglig|1| 
28100232757|Dulcolax|tablet|tabletter|0000001|.| | | 
28100232757|Dulcolax|tablet|tabletter|0000024|1|N daglig|2| 
28100234057|Stemetil|tablet|tabletter|0000039|1|N daglig|2;2;2| 
28100234057|Stemetil|tablet|tabletter|0000001|.| | | 
28100234057|Stemetil|tablet|tabletter|0000038|1|N daglig|1;1;1| 
28100245657|Syntocinon| | | |.| | | 
28100245757|Medrol|tablet|tabletter|0000001|.| | | 
28100259658|Plaquenil|tablet|tabletter|0000024|1|N daglig|2| 
28100259658|Plaquenil|tablet|tabletter|0000026|1|N daglig|1| 
28100259658|Plaquenil|tablet|tabletter|0000001|.| | | 
28100259658|Plaquenil|tablet|tabletter|0001168|7|N daglig|2|, 1 uge før ankomst til 4 uger efter afrejse
28100259658|Plaquenil|tablet|tabletter|0001169|7|N daglig|1|, 1 uge før ankomst til 4 uger efter afrejse
28100259658|Plaquenil|tablet|tabletter|0000025|1|N daglig|4| 
28100259658|Plaquenil|tablet|tabletter| |.| | | 
28100270558|Sendoxan|tablet|tabletter| |.| | | 
28100272558|Glycifer|dråbe|dråber|0000697|1|N daglig|13;13| 
28100272558|Glycifer|dråbe|dråber|0000696|1|N daglig|26;26;26;26| 
28100272558|Glycifer|dråbe|dråber|0000695|1|N daglig|26;26| 
28100272558|Glycifer|dråbe|dråber|0000694|1|N daglig|13;13;13| 
28100272558|Glycifer|dråbe|dråber|0000061|1|N daglig|5| 
28100280558|Noacid|tablet|tabletter|0000005|1|N daglig|2;2;2;2;2;2| 
28100280558|Noacid|tablet|tabletter|0000004|1|N daglig|2;2;2;2| 
28100280558|Noacid|tablet|tabletter|0000003|1|N daglig|2;2| 
28100280558|Noacid|tablet|tabletter|0000002|0|PN|2| 
28100286458|Terramycin-Polymyxin B|stribe|striber|0000420|1|N daglig|2;2;2|, 1 i hvert øje
28100286458|Terramycin-Polymyxin B|stribe|striber|0000411|1|M+M+A+N|0+0+0+2|, 1 i hvert øje
28100286458|Terramycin-Polymyxin B|stribe|striber|0000184|1|N daglig|2;2;2;2|, 1 i hvert øje
28100289759|Antabus|brusetablet|brusetabletter|0000001|.| | | 
28100289759|Antabus|brusetablet|brusetabletter|0000028|1|N daglig|0.5| 
28100289759|Antabus|brusetablet|brusetabletter|0000291|7|N daglig|dag 1: 1 dag 4: 4| 
28100289759|Antabus|brusetablet|brusetabletter|0000292|7|N daglig|dag 1: 2 dag 4: 2| 
28100290259|Strepsils|sugetablet|sugetabletter|0001111|.| | | 
28100304259|Serenase|ml|ml|0000036|1|N daglig|5;5;5| 
28100304259|Serenase|ml|ml|0000089|1|N daglig|1;1| 
28100304259|Serenase|ml|ml|0000149|1|N daglig|2;2;2| 
28100304259|Serenase|ml|ml|0000063|1|N daglig|10| 
28100304259|Serenase|ml|ml|0000091|1|N daglig|1| 
28100312259|Klyx|rektaltube|rektaltuber|0000243|0|PN|1|, 15 min før virkning ønskes
28100312259|Klyx|rektaltube|rektaltuber|0000393|0|PN|1| 
28100312259|Klyx|rektaltube|rektaltuber|0000432|0|PN|0.5| 
28100312259|Klyx|rektaltube|rektaltuber|0000433|0|PN|0.5|, 15 min før virkning ønskes
28100312259|Klyx|rektaltube|rektaltuber|0000068|1|N daglig|1| 
28100315259|Syntocinon|pust|pust|0000490|0|PN|1|før amning
28100320959|Dulcolax|rektal stikpille|rektale stikpiller|0000961|1|N daglig|1| 
28100320959|Dulcolax|rektal stikpille|rektale stikpiller|0000430|0|PN|1|, 15 min før virkning ønskes
28100320959|Dulcolax|rektal stikpille|rektale stikpiller|0000431|0|PN|0.5|i endetarmen, 15 min virkning ønskes
28100320959|Dulcolax|rektal stikpille|rektale stikpiller|0000372|1|N daglig|0.5|i endetarmen
28100323959|Depo-medrol| | | |.| | | 
28100327560|Centyl med Kaliumklorid|tablet|tabletter|0000026|1|N daglig|1| 
28100327560|Centyl med Kaliumklorid|tablet|tabletter|0000015|1|M+M+A+N|1+0+1| 
28100327560|Centyl med Kaliumklorid|tablet|tabletter|0000024|1|N daglig|2| 
28100327560|Centyl med Kaliumklorid|tablet|tabletter|0000003|1|M+M+A+N|2+0+2| 
28100327560|Centyl med Kaliumklorid|tablet|tabletter|0000001|0|FT|Dosering efter skriftlig anvisning| 
28100327860|Nozinan|tablet|tabletter|0000039|1|N daglig|2;2;2| 
28100327860|Nozinan|tablet|tabletter|0000038|1|N daglig|1;1;1| 
28100327860|Nozinan|tablet|tabletter|0000001|.| | | 
28100329660|Marplan|tablet|tabletter|0000177|1|M+M+A+N|2+0+0+0| 
28100329660|Marplan|tablet|tabletter|0000178|1|M+M+A+N|3+0+0+0| 
28100329660|Marplan|tablet|tabletter|0000001|.| | | 
28100330160|Regenon|kapsel|kapsler|0001002|1|M+M+A+N|1+1+1+0|senest 30-60 min før et hovedmåltid
28100335260|Xylocain|pust|pust|0000905|0|PN|1| 
28100338960|Ercoril|tablet|tabletter|0000038|1|N daglig|1;1;1| 
28100338960|Ercoril|tablet|tabletter|0000045|1|M+M+A+N|0+0+0+2| 
28100338960|Ercoril|tablet|tabletter|0000039|1|N daglig|2;2;2| 
28100340560|Betolvex| | | |.| | | 
28100348960|Vilan| | | |.| | | 
28100366461|Velbe| | | |.| | | 
28100368661|Saroten|tablet|tabletter|0000046|1|M+M+A+N|0+0+0+3| 
28100368661|Saroten|tablet|tabletter|0000045|1|M+M+A+N|0+0+0+2| 
28100368661|Saroten|tablet|tabletter|0000001|.| | | 
28100368661|Saroten|tablet|tabletter|0000015|1|N daglig|1;1| 
28100368661|Saroten|tablet|tabletter|0000038|1|N daglig|1;1;1| 
28100375161|Ercoquin|tablet|tabletter|0000079|1|N daglig|1.5| 
28100375161|Ercoquin|tablet|tabletter|0000001|.| | | 
28100375161|Ercoquin|tablet|tabletter|0000028|1|N daglig|0.5| 
28100375161|Ercoquin|tablet|tabletter|0000026|1|N daglig|1| 
28100385861|Proctosedyl|påsmøring|påsmøringer|0000001|.| | | 
28100385861|Proctosedyl|påsmøring|påsmøringer|0000032|1|N daglig|1;1| 
28100385861|Proctosedyl|påsmøring|påsmøringer|0000102|1|N daglig|1;1;1| 
28100389161|Vanquin|tablet|tabletter|0000315|0|N daglig|dag 1: 8 dag 15: 8| 
28100389161|Vanquin|tablet|tabletter|0000001|.| | | 
28100391161|Vibeden| | | |.| | | 
28100396662|Tetralysal|kapsel|kapsler|0000406|1|N daglig|1|til et måltid
28100396662|Tetralysal|kapsel|kapsler|0000404|1|N daglig|1;1|til et måltid
28100396662|Tetralysal|kapsel|kapsler|0000057|1|N daglig|2;2| 
28100396662|Tetralysal|kapsel|kapsler|0000030|1|N daglig|1| 
28100396662|Tetralysal|kapsel|kapsler|0000029|1|N daglig|1;1| 
28100396662|Tetralysal|kapsel|kapsler|0000001|.| | | 
28100396662|Tetralysal|kapsel|kapsler|0000850|1|N daglig|2;2|til et måltid
28100399462|Fucidin|tablet|tabletter|0000001|.| | | 
28100399462|Fucidin|tablet|tabletter|0000003|1|N daglig|2;2| 
28100399462|Fucidin|tablet|tabletter|0000039|1|N daglig|2;2;2| 
28100399462|Fucidin|tablet|tabletter|0000038|1|N daglig|1;1;1| 
28100399462|Fucidin|tablet|tabletter|0000015|1|N daglig|1;1| 
28100400362|Zarondan|ml|ml|0000148|1|N daglig|7.5;7.5| 
28100400362|Zarondan|ml|ml|0000019|1|N daglig|5;5| 
28100400362|Zarondan|ml|ml|0000007|1|N daglig|10;10| 
28100400362|Zarondan|ml|ml|0000001|.| | | 
28100400562|Synalar|påsmøring|påsmøringer|0000234|0|PN|1| 
28100400562|Synalar|påsmøring|påsmøringer|0000104|1|N daglig|1;1| 
28100400562|Synalar|påsmøring|påsmøringer|0000103|1|N daglig|1;1;1| 
28100400562|Synalar|påsmøring|påsmøringer|0000232|1|N daglig|1| 
28100400562|Synalar|påsmøring|påsmøringer|0000001|.| | | 
28100401662|Pred-Clysma|plastflaske|plastflasker|0000074|1|M+M+A+N|0+0+0+1| 
28100405762|Sofradex|dråbe|dråber|0000811|1|N daglig|4;4;4|i det inficerede øre
28100405762|Sofradex|dråbe|dråber|0000780|1|N daglig|1;1;1;1|i højre øje
28100405762|Sofradex|dråbe|dråber|0000774|1|N daglig|1;1;1;1;1;1|i højre øje
28100405762|Sofradex|dråbe|dråber|0000814|1|N daglig|2;2;2|i øret
28100405762|Sofradex|dråbe|dråber|0001165|.| | | 
28100405762|Sofradex|dråbe|dråber|0000749|1|N daglig|2;2;2|, 1 i hvert øje
28100405762|Sofradex|dråbe|dråber|0000782|1|N daglig|2;2;2;2|, 1 i hvert øje
28100405762|Sofradex|dråbe|dråber|0000809|1|N daglig|3;3;3|i det inficerede øre
28100405762|Sofradex|dråbe|dråber|0000776|1|N daglig|2;2;2;2;2;2|, 1 i hvert øje
28100405762|Sofradex|dråbe|dråber|0000747|1|N daglig|1;1;1|i højre øje
28100405762|Sofradex|dråbe|dråber|0000810|1|N daglig|3;3;3;3|i det inficerede øre
28100405762|Sofradex|dråbe|dråber|0000748|1|N daglig|1;1;1|i venstre øje
28100405762|Sofradex|dråbe|dråber|0000775|1|N daglig|1;1;1;1;1;1|i venstre øje
28100405762|Sofradex|dråbe|dråber|0000001|.| | | 
28100405762|Sofradex|dråbe|dråber|0000817|1|N daglig|2;2;2|i øret
28100405762|Sofradex|dråbe|dråber|0000781|1|N daglig|1;1;1;1|i venstre øje
28100405762|Sofradex|dråbe|dråber|0000812|1|N daglig|4;4;4;4|i det inficerede øre
28100408962|Microlax|rektaltube|rektaltuber|0000068|1|N daglig|1| 
28100408962|Microlax|rektaltube|rektaltuber|0000433|0|PN|0.5|, 15 min før virkning ønskes
28100408962|Microlax|rektaltube|rektaltuber|0000432|0|PN|0.5| 
28100408962|Microlax|rektaltube|rektaltuber|0000243|0|PN|1|, 15 min før virkning ønskes
28100408962|Microlax|rektaltube|rektaltuber|0000393|0|PN|1| 
28100410862|GlucaGen| | | |.| | | 
28100413062|Intralipid| | | |.| | | 
28100417072|Fucidin|ml|ml|0000152|1|N daglig|7.5;7.5;7.5| 
28100417072|Fucidin|ml|ml|0000124|1|N daglig|2.5;2.5;2.5| 
28100417072|Fucidin|ml|ml|0000037|1|N daglig|10;10| 
28100417072|Fucidin|ml|ml|0000121|1|N daglig|2.5;2.5| 
28100417072|Fucidin|ml|ml|0000019|1|N daglig|5;5| 
28100417072|Fucidin|ml|ml|0000001|.| | | 
28100417072|Fucidin|ml|ml|0000036|1|N daglig|5;5;5| 
28100420262|Florinef|tablet|tabletter|0000079|1|N daglig|1.5| 
28100420262|Florinef|tablet|tabletter|0000028|1|N daglig|0.5| 
28100420262|Florinef|tablet|tabletter|0000026|1|N daglig|1| 
28100420262|Florinef|tablet|tabletter|0000024|1|N daglig|2| 
28100423962|Haldid| | | |.| | | 
28100427563|Hydrocortison m.terramycin+polymyxin-B|dråbe|dråber|0000814|1|N daglig|2;2;2|i øret
28100427563|Hydrocortison m.terramycin+polymyxin-B|dråbe|dråber|0000809|1|N daglig|3;3;3|i det inficerede øre
28100427563|Hydrocortison m.terramycin+polymyxin-B|dråbe|dråber|0000782|1|N daglig|2;2;2;2|, 1 i hvert øje
28100427563|Hydrocortison m.terramycin+polymyxin-B|dråbe|dråber|0000781|1|N daglig|1;1;1;1|i venstre øje
28100427563|Hydrocortison m.terramycin+polymyxin-B|dråbe|dråber|0000811|1|N daglig|4;4;4|i det inficerede øre
28100427563|Hydrocortison m.terramycin+polymyxin-B|dråbe|dråber|0000780|1|N daglig|1;1;1;1|i højre øje
28100427563|Hydrocortison m.terramycin+polymyxin-B|dråbe|dråber|0000776|1|N daglig|2;2;2;2;2;2|, 1 i hvert øje
28100427563|Hydrocortison m.terramycin+polymyxin-B|dråbe|dråber|0000775|1|N daglig|1;1;1;1;1;1|i venstre øje
28100427563|Hydrocortison m.terramycin+polymyxin-B|dråbe|dråber|0000749|1|N daglig|2;2;2|, 1 i hvert øje
28100427563|Hydrocortison m.terramycin+polymyxin-B|dråbe|dråber|0000774|1|N daglig|1;1;1;1;1;1|i højre øje
28100427563|Hydrocortison m.terramycin+polymyxin-B|dråbe|dråber|0000001|.| | | 
28100427563|Hydrocortison m.terramycin+polymyxin-B|dråbe|dråber|0000747|1|N daglig|1;1;1|i højre øje
28100427563|Hydrocortison m.terramycin+polymyxin-B|dråbe|dråber|0000748|1|N daglig|1;1;1|i venstre øje
28100430763|Serenase|tablet|tabletter|0000039|1|N daglig|2;2;2| 
28100430763|Serenase|tablet|tabletter|0000001|.| | | 
28100430763|Serenase|tablet|tabletter|0000038|1|N daglig|1;1;1| 
28100435763|Provera|tablet|tabletter|0000328|28|N daglig|dag 1: 2 dag 2: 2 dag 3: 2 dag 4: 2 dag 5: 2 dag 6: 2 dag 7: 2 dag 8: 2 dag 9: 2 dag 10: 2|optimalt fra 15.-24. cyklusdag
28100435763|Provera|tablet|tabletter|0000275|28|N daglig|dag 1: 2 dag 2: 2 dag 3: 2 dag 4: 2 dag 5: 2 dag 6: 2 dag 7: 2 dag 8: 2 dag 9: 2 dag 10: 2|optimalt fra 15.-24. cyklusdag
28100435763|Provera|tablet|tabletter|0000001|.| | | 
28100435763|Provera|tablet|tabletter|0000327|28|N daglig|dag 1: 1 dag 2: 1 dag 3: 1 dag 4: 1 dag 5: 1 dag 6: 1 dag 7: 1 dag 8: 1 dag 9: 1 dag 10: 1|optimalt fra 15.-24. cyklusdag
28100439163|Noritren|tablet|tabletter|0000024|1|N daglig|2| 
28100439163|Noritren|tablet|tabletter|0000001|.| | | 
28100439163|Noritren|tablet|tabletter|0000026|1|N daglig|1| 
28100439163|Noritren|tablet|tabletter|0000083|1|N daglig|3| 
28100444263|Noritren|tablet|tabletter|0000050|1|N daglig|3;3| 
28100444263|Noritren|tablet|tabletter|0000015|1|N daglig|1;1| 
28100444263|Noritren|tablet|tabletter|0000003|1|N daglig|2;2| 
28100444263|Noritren|tablet|tabletter|0000001|.| | | 
28100445563|Lysantin|tablet|tabletter|0000015|1|N daglig|1;1| 
28100445563|Lysantin|tablet|tabletter|0000003|1|N daglig|2;2| 
28100445563|Lysantin|tablet|tabletter|0000001|.| | | 
28100448264|Sendoxan| | | |.| | | 
28100454364|Tegretol|tablet|tabletter|0000038|1|N daglig|1;1;1| 
28100454364|Tegretol|tablet|tabletter|0000003|1|N daglig|2;2| 
28100454364|Tegretol|tablet|tabletter|0000001|.| | | 
28100454364|Tegretol|tablet|tabletter|0000015|1|N daglig|1;1| 
28100454364|Tegretol|tablet|tabletter|0000059|1|N daglig|3;3;3| 
28100454364|Tegretol|tablet|tabletter|0000039|1|N daglig|2;2;2| 
28100457064|Betnovat|påsmøring|påsmøringer|0000001|.| | | 
28100457064|Betnovat|påsmøring|påsmøringer|0000103|1|N daglig|1;1;1| 
28100457064|Betnovat|påsmøring|påsmøringer|0000234|0|PN|1| 
28100457064|Betnovat|påsmøring|påsmøringer|0000104|1|N daglig|1;1| 
28100457064|Betnovat|påsmøring|påsmøringer|0000232|1|N daglig|1| 
28100458064|Celestonvalerat|påsmøring|påsmøringer|0000234|0|PN|1| 
28100458064|Celestonvalerat|påsmøring|påsmøringer|0000232|1|N daglig|1| 
28100458064|Celestonvalerat|påsmøring|påsmøringer|0000104|1|N daglig|1;1| 
28100458064|Celestonvalerat|påsmøring|påsmøringer|0000001|.| | | 
28100458064|Celestonvalerat|påsmøring|påsmøringer|0000103|1|N daglig|1;1;1| 
28100466264|Calcium-Sandoz|brusetablet|brusetabletter|0000026|1|N daglig|1| 
28100466264|Calcium-Sandoz|brusetablet|brusetabletter|0000001|.| | | 
