DrugID|DrugName|textSingular|textPlural
28100289759|Antabus|brusetablet|brusetabletter
28100466264|Calcium-Sandoz|brusetablet|brusetabletter
28100665775|Treo|brusetablet|brusetabletter
28100907676|Panodil Brus|brusetablet|brusetabletter
28101080281|Mucomyst|brusetablet|brusetabletter
28101133083|Antabus|brusetablet|brusetabletter
28101195484|Pinex|brusetablet|brusetabletter
28101263286|Mucolysin|brusetablet|brusetabletter
28101314487|Pamol|brusetablet|brusetabletter
28101355889|Zantac|brusetablet|brusetabletter
28101406790|Treo Citrus|brusetablet|brusetabletter
28101412090|Zantac|brusetablet|brusetabletter
28101515692|Calcium-Sandoz|brusetablet|brusetabletter
28101796395|Zantac|brusetablet|brusetabletter
28101917397|Dolol|brusetablet|brusetabletter
28101935297|Mandolgin|brusetablet|brusetabletter
28103810805|Mucolysin Skovbær|brusetablet|brusetabletter
28104065906|Mucolysin|brusetablet|brusetabletter
28104307208|Flavamed|brusetablet|brusetabletter
28105040712|Granon|brusetablet|brusetabletter
28105040812|Granon|brusetablet|brusetabletter
28105398214|Antabus|brusetablet|brusetabletter
28101813496|Aldara|påsmøring|påsmøringer
28101192084|Metronidazol "Actavis"|påsmøring|påsmøringer
28101554793|Wartec|påsmøring|påsmøringer
28104418108|Zoviduo|påsmøring|påsmøringer
28104928411|Dermovate|påsmøring|påsmøringer
28104956711|Zyclara|påsmøring|påsmøringer
28104964011|Betnovat med Chinoform|påsmøring|påsmøringer
28105068212|Fusidinsyre "Orifarm"|påsmøring|påsmøringer
28105201713|Betnovate med chinoform|påsmøring|påsmøringer
28105211213|Rozex|påsmøring|påsmøringer
28105244413|Skinoren|påsmøring|påsmøringer
28105265513|Betnovate C|påsmøring|påsmøringer
28105269813|Dermovate|påsmøring|påsmøringer
28105274513|Locoid|påsmøring|påsmøringer
28105274613|Skinoren|påsmøring|påsmøringer
28105281413|Nix|påsmøring|påsmøringer
28105325813|Locoid|påsmøring|påsmøringer
28105344913|Daivonex|påsmøring|påsmøringer
