ReleaseNumber|DrugId|DosageStructureCode
27|28100010554|1
27|28100010554|2
27|28100010554|3
27|28100020455|4
27|28100020455|5
27|28100020455|6
27|28100020455|7
27|28100076255|1
27|28100076255|8
27|28100076255|9
27|28100076255|10
27|28100122055|1
27|28100122055|8
27|28100137555|11
27|28100137555|12
27|28100137555|8
27|28100142255|13
27|28100142255|14
27|28100142255|15
27|28100187056|11
27|28100187056|16
27|28100187056|6
27|28100187056|17
27|28100187056|18
27|28100187056|1
27|28100187056|8
27|28100187056|19
27|28100259658|5
27|28100259658|20
27|28100259658|6
27|28100259658|21
27|28100259658|22
27|28100286458|23
27|28100286458|24
27|28100286458|25
27|28100289759|26
27|28100289759|27
27|28100289759|28
27|28100312259|29
27|28100312259|30
27|28100312259|31
27|28100312259|32
27|28100312259|33
27|28100327560|4
27|28100327560|34
27|28100327560|35
27|28100327560|5
27|28100327560|6
27|28100335260|36
27|28100368661|16
27|28100368661|1
27|28100368661|37
27|28100368661|38
27|28100385861|39
27|28100385861|40
27|28100399462|11
27|28100399462|16
27|28100399462|1
27|28100399462|8
27|28100405762|41
27|28100405762|42
27|28100405762|43
27|28100405762|44
27|28100405762|45
27|28100405762|46
27|28100405762|47
27|28100405762|48
27|28100405762|49
27|28100405762|50
27|28100405762|51
27|28100405762|52
27|28100405762|53
27|28100405762|54
27|28100405762|54
27|28100408962|29
27|28100408962|30
27|28100408962|31
27|28100408962|32
27|28100408962|33
27|28100420262|5
27|28100420262|6
27|28100420262|18
27|28100420262|55
27|28100430763|1
27|28100430763|8
27|28100435763|56
27|28100435763|57
27|28100435763|56
27|28100439163|5
27|28100439163|6
27|28100439163|7
27|28100445563|11
27|28100445563|16
27|28100454364|11
27|28100454364|16
27|28100454364|1
27|28100454364|8
27|28100454364|58
27|28100457064|40
27|28100457064|39
27|28100457064|59
27|28100457064|60
27|28100466264|61
27|28100466264|62
27|28100474265|40
27|28100474265|39
27|28100478565|16
27|28100478565|6
27|28100478565|1
27|28100487965|41
27|28100487965|42
27|28100487965|43
27|28100487965|44
27|28100487965|45
27|28100487965|46
27|28100487965|47
27|28100487965|48
