ReleaseNumber|Code|TextSingular|TextPlural
30|1|ampul|ampuller
30|2|applikatordosis|applikatordoser
30|3|beholder|beholdere
30|4|brev|breve
30|5|brusetablet|brusetabletter
30|6|dosis|doser
30|7|dråbe|dråber
30|8|engangssprøjte|engangssprøjter
30|9|enhed|enheder
30|10|flaske|flasker
30|11|gram|gram
30|12|hætteglas|hætteglas
30|13|IE|IE
30|14|implantat|implantater
30|15|indgnidning|indgnidninger
30|16|inhalationskapsel|inhalationskapsler
30|17|injektionspen|injektionspenne
30|18|injektionssprøjte|injektionssprøjter
30|19|kapsel|kapsler
30|20|mg|mg
30|21|mikrogram|mikrogram
30|22|ml|ml
30|23|måleske|måleskeer
30|24|pensling|penslinger
30|25|plaster|plastre
30|26|pump|pump
30|27|pust|pust
30|28|påføring|påføringer
30|29|påsmøring|påsmøringer
30|30|rektal stikpille|rektale stikpiller
30|31|rektaltube|rektaltuber
30|32|resoriblet|resoribletter
30|33|spiral|spiraler
30|34|sprøjte til munden|sprøjter til munden
30|35|stribe|striber
30|36|sug|sug
30|37|sugetablet|sugetabletter
30|38|sæt breve A+B|sæt breve A+B
30|39|tablet|tabletter
30|40|tyggegummi|tyggegummier
30|41|tyggetablet|tyggetabletter
30|42|vaginalindlæg|vaginalindlæg
30|43|vaginaltablet|vaginaltabletter
30|44|vagitorie|vagitorier
30|45|vask|vask
