ReleaseNumber|DrugId|DrugName|DosageUnitCode
30|28100010554|Marzine|39
30|28100020455|Eltroxin|39
30|28100049555|Heparin "Leo"|22
30|28100076255|Aspirin|39
30|28100110949|Xylocain|22
30|28100111155|Xylocain-adrenalin|22
30|28100122055|Buscopan|39
30|28100123253|Marcoumar|39
30|28100123355|Mestinon|39
30|28100137555|Salazopyrin|39
30|28100142255|Phenergan|22
30|28100157755|Abboticin|39
30|28100165055|Solu-cortef|20
30|28100187056|Ritalin|39
30|28100245657|Syntocinon|22
30|28100245757|Medrol|39
30|28100259658|Plaquenil|39
30|28100286458|Terramycin-Polymyxin B|35
30|28100289759|Antabus|5
30|28100312259|Klyx|31
30|28100323959|Depo-medrol|22
30|28100327560|Centyl med Kaliumklorid|39
30|28100335260|Xylocain|27
30|28100368661|Saroten|39
30|28100385861|Proctosedyl|29
30|28100399462|Fucidin|39
30|28100405762|Sofradex|7
30|28100408962|Microlax|31
30|28100410862|GlucaGen|22
30|28100420262|Florinef|39
30|28100430763|Serenase|39
30|28100435763|Provera|39
30|28100437363|Desferal|20
30|28100439163|Noritren|39
30|28100445563|Lysantin|39
30|28100454364|Tegretol|39
30|28100457064|Betnovat|29
30|28100466264|Calcium-Sandoz|5
30|28100474265|Fucidin|29
30|28100478565|Stesolid|39
30|28100478865|Synacthen|1
30|28100484865|Citanest Dental Octapressin|22
30|28100487965|Maxidex|7
30|28100489665|Mucomyst|22
30|28100493671|Kaleorid|39
30|28100503566|Kenalog|22
30|28100508966|Solu-cortef|20
30|28100515267|Betnovat|28
30|28100520967|Imurel|39
30|28100521967|Pacisyn|39
30|28100526567|Tavegyl|39
30|28100528167|Nozinan|39
30|28100533567|Metronidazol "Actavis"|39
30|28100542968|Primperan|22
30|28100546168|Antistina-privin|7
30|28100552969|Tetralysal|19
30|28100559669|Ventoline|27
30|28100565569|Flagyl|44
30|28100571370|Tavegyl|1
30|28100573870|Rimactan|19
30|28100575570|Orap|39
30|28100575670|Orap|39
30|28100579370|Temesta|39
30|28100582370|Ovestin|39
30|28100583070|Apozepam|39
30|28100583770|Brentan|29
30|28100583870|Brentan|2
30|28100590071|Dalacin|19
30|28100594371|Burinex|39
30|28100597871|Anafranil|39
30|28100599471|Locoid|28
30|28100599671|Locoid|29
30|28100600571|Ventoline|22
30|28100606772|Minirin|21
30|28100607472|Lioresal|39
30|28100608672|Canesten|43
30|28100609972|Betaserc|39
30|28100611372|Androcur|39
30|28100612972|Mindiab|39
30|28100613272|Solu-medrol|20
30|28100613372|Solu-medrol|20
30|28100613872|Semap|39
30|28100615172|Diproderm|29
30|28100615372|Ventoline|22
30|28100616672|Serenase|39
30|28100619272|Fluanxol|39
30|28100620972|Abboticin|39
30|28100622372|Heracillin|39
30|28100627873|Abboticin|22
30|28100631373|Flagyl|39
30|28100631773|Nitoman|39
30|28100632573|Dermovat|29
30|28100632673|Dermovat|29
30|28100636073|Panodil|39
30|28100636473|Diproderm|28
30|28100636573|Diproderm|29
30|28100636673|Madopar "125"|19
30|28100636773|Madopar "250"|19
30|28100641874|Dalacin|22
30|28100643374|Leponex|39
30|28100643574|Leponex|39
30|28100645874|Rivotril|39
30|28100645974|Rivotril|39
30|28100649974|Flamazine|29
30|28100651774|Lexotan|39
30|28100651874|Lexotan|39
30|28100656374|Diural|39
30|28100656474|Diural|39
30|28100656574|Diural|39
30|28100661375|Solu-medrol|20
30|28100664775|Bisolvon|22
30|28100665575|Nitrolingual|27
30|28100665775|Treo|5
30|28100668975|Brufen|39
30|28100669775|Estrofem|39
30|28100669975|Trisekvens|39
30|28100671875|Bisolvon|39
30|28100673175|Parlodel|39
30|28100673375|Cisordinol Depot|22
30|28100676975|Nitrazepam "DAK"|39
30|28100688875|Brentacort|29
30|28100690976|Tenormin|39
30|28100691076|Tenormin|39
30|28100695476|Amitriptylin "DAK"|39
30|28100695576|Amitriptylin "DAK"|39
30|28100695676|Amitriptylin "DAK"|39
30|28100695776|Soluvit|12
30|28100698876|Diprosalic|29
30|28100700076|Trandate|20
30|28100704876|Atropin "DAK"|22
30|28100717276|Glyoktyl|31
30|28100722776|Kinin "DAK"|39
30|28100723576|Klopoxid "Takeda"|39
30|28100723676|Klopoxid "Takeda"|39
30|28100726176|Kodein "DAK"|39
30|28100734576|Metadon "DAK"|39
30|28100744276|Prednisolon "DAK"|39
30|28100744776|Primidon "ERA"|39
30|28100750576|Sulfametizol "Actavis"|39
30|28100777276|Prednisolon "DAK"|39
30|28100786776|Depo-provera|22
30|28100787776|Microgyn|39
30|28100789776|Metadon "DAK"|22
30|28100838680|Prednisolon "DAK"|39
30|28100843083|Sesal|7
30|28100900276|Voltaren|39
30|28100901376|Diprospan|22
30|28100902476|Primcillin|39
30|28100902976|Panodil Junior|22
30|28100903176|Ludiomil|39
30|28100903676|Diazepam "DAK"|39
30|28100903776|Diazepam "DAK"|39
30|28100907676|Panodil Brus|5
30|28100913176|Selexid|39
30|28100913877|Canesten|2
30|28100918177|Stesolid|31
30|28100918277|Stesolid|31
30|28100919477|Halcion|39
30|28100920077|Etalpha|19
30|28100920477|Trimopan|39
30|28100924177|Lomudal|7
30|28100924377|Laxoberal|7
30|28100925577|Duraphat|24
30|28100925773|Ludiomil|39
30|28100926477|Andriol|19
30|28100927977|Pevisone|29
30|28100928577|Diprosalic|28
30|28100946949|Xylocain|22
30|28100948277|Burinex|39
30|28100950170|Apozepam|39
30|28100950565|Stesolid|39
30|28100952977|Brentan|23
30|28100965465|Betnovat med Chinoform|29
30|28100966278|Motilium|39
30|28100970678|Persantin|39
30|28100972864|Fluanxol Mite|39
30|28100972964|Fluanxol Mite|39
30|28100973778|Zinacef|20
30|28100974864|Sendoxan|20
30|28100975178|Etalpha|19
30|28100980178|Metronidazol "Actavis"|39
30|28100980278|Metronidazol "Actavis"|30
30|28100980378|Metronidazol "Actavis"|30
30|28100982178|Madopar "62,5"|19
30|28100983067|Anafranil|39
30|28100983778|Heparin "Leo"|22
30|28100988878|Karbamazepin "DAK"|39
30|28100989878|Furix|39
30|28100989978|Furix|39
30|28100991168|Cyklokapron|39
30|28100991878|Orfiril|39
30|28100991978|Orfiril|22
30|28100993070|Marcain|22
30|28100993578|Vermox|39
30|28100993978|Lasix Retard|19
30|28100994078|Lasix Retard|19
30|28100994978|Emperal|39
30|28100996278|Spirix|39
30|28100996855|Lucosil|39
30|28100998578|Mindiab|39
30|28101000672|Lioresal|39
30|28101003665|Risolid|39
30|28101003765|Risolid|39
30|28101005764|Marevan|39
30|28101009755|Phenergan|39
30|28101010979|Voltaren|39
30|28101011661|Saroten|39
30|28101012255|Ketogan|30
30|28101027479|Tenoretic|39
30|28101028579|Visken|39
30|28101028679|Diural|39
30|28101029379|Delepsine|39
30|28101029479|Delepsine|39
30|28101029579|Delepsine|39
30|28101032579|Pronoctan|39
30|28101032979|Delepsine|22
30|28101033279|Bromhexin "DAK"|22
30|28101034579|Colifoam|2
30|28101036079|Dermovat|28
30|28101038079|Instillagel|8
30|28101040380|Tafil|39
30|28101040480|Tafil|39
30|28101040580|Tafil|39
30|28101041280|Panodil Junior|30
30|28101041380|Panodil|30
30|28101045080|Tegretol|39
30|28101048680|Bromhexin "DAK"|39
30|28101055380|Alk (108) Betula Verrucosa|22
30|28101055980|Marvelon|39
30|28101058280|Allopurinol "DAK"|39
30|28101058380|Allopurinol "DAK"|39
30|28101060381|Bricanyl|1
30|28101060981|Ibumetin|39
30|28101061081|Ibumetin|39
30|28101061181|Ibumetin|39
30|28101061781|Ovestin|2
30|28101062281|Ibuprofen "Actavis"|39
30|28101063581|Orfiril|39
30|28101064081|Nicorette Classic|40
30|28101064181|Nicorette Classic|40
30|28101065581|Delepsine|22
30|28101065881|Temgesic|32
30|28101066181|Voltaren Retard|39
30|28101066381|Ventoline|1
30|28101066981|Frisium|39
30|28101067781|Veraloc|39
30|28101067881|Veraloc|39
30|28101068881|Cisordinol|39
30|28101068981|Cisordinol|39
30|28101072581|Zantac|39
30|28101073581|Capiven|39
30|28101073681|Fucidin|29
30|28101080181|Contalgin|39
30|28101080281|Mucomyst|5
30|28101082281|Gaviscon|22
30|28101082981|Pinex Junior|22
30|28101084381|Canesten|43
30|28101084681|Spirix|39
30|28101088281|Brufen|39
30|28101091881|Holoxan|20
30|28101092381|Serenase Dekanoat|22
30|28101093682|Alk (503) Dermatoph. Pteronys.|22
