DrugID|Navn|Ental|Flertal
28104623109|Betnovate|påsmøring|påsmøringer
28105010412|Betnovate|påsmøring|påsmøringer
28105182212|Betnovat med chinoform|påsmøring|påsmøringer
28105243413|Galantamin "2care4"|kapsel|kapsler
28103438602|Doxazosin "Orifarm"|tablet|tabletter
28105232413|Depakine Chrono|tablet|tabletter
28101758795|Pentasa|tablet|tabletter
28104183507|Oxycodone "Sandoz"|tablet|tabletter
28104183607|Oxycodone "Sandoz"|tablet|tabletter
28104183707|Oxycodone "Sandoz"|tablet|tabletter
28104807510|Adalat LA|tablet|tabletter
28104890811|Oxycodone "Sandoz"|tablet|tabletter
28104890911|Oxycodone "Sandoz"|tablet|tabletter
28104891011|Oxycodone "Sandoz"|tablet|tabletter
28104686810|Esomeprazol "Teva"|tablet|tabletter
28104385708|Pantoprazol "Pensa"|tablet|tabletter
28103666404|Corlentor|tablet|tabletter
28104287608|Movinella|tablet|tabletter
28104287708|Movinella|tablet|tabletter
28104658510|Zolpidem "Vitabalans"|tablet|tabletter
28104738810|Ibuprofen "Alternova"|tablet|tabletter
28104869011|Desloratadine "ratiopharm"|tablet|tabletter
28105252513|Valaciclovir "Orifarm"|tablet|tabletter
28103217100|Vepicombin Novum|tablet|tabletter
28103217200|Vepicombin Novum|tablet|tabletter
28103308401|Diclon Rapid|tablet|tabletter
28104352308|Metformin "Orifarm"|tablet|tabletter
28104363408|Levocetirizindihydrochl. Stada|tablet|tabletter
28104443708|Valsavil HCT|tablet|tabletter
28104495709|Irbesartan "STADA"|tablet|tabletter
28104495809|Irbesartan "STADA"|tablet|tabletter
28104508609|Montelukast "Stada"|tablet|tabletter
28104548709|Crestor|tablet|tabletter
28104563009|Vesicare|tablet|tabletter
28104618109|Losartan/HClthiazide "Teva"|tablet|tabletter
28104629410|Plaquenil|tablet|tabletter
28104765310|Montelukast "Accord"|tablet|tabletter
28104784110|Levetiracetam "Teva"|tablet|tabletter
28104784210|Levetiracetam "Teva"|tablet|tabletter
28104873011|Quetiapin "Orion"|tablet|tabletter
28104639710|Symbicort Forte Turbuhaler|sug|sug
28103226101|Pulmicort Turbuhaler|sug|sug
28104197107|Symbicort Forte Turbohaler|sug|sug
28104757610|Seretide Diskus|sug|sug
28105051512|Flixotide|pust|pust
28105144512|Flixotide|pust|pust
28104565509|Duovent|ampul|ampuller
28104648510|ReoPro|ml|ml
28104113007|Imukin|ml|ml
28103228101|Pegasys|mikrogram|mikrogram
28103228201|Pegasys|mikrogram|mikrogram
28104933711|Triamcinolonacetonid EuroPharm|ml|ml
28105105912|Diprofos Depot|ml|ml
28104909511|Ziprasidone "Sandoz"|kapsel|kapsler
