DrugId|Drugname|ShortTranslation
28100010554|Marzine|1 tablet 3 gange daglig|S
28100010554|Marzine|1/2 tablet efter behov, 1 time før virkning ønskes|S
28100010554|Marzine|1 tablet efter behov, 1 time før virkning ønskes|S
28100020455|Eltroxin|Dosering efter skriftlig anvisning|N
28100020455|Eltroxin|2 tabletter 1 gang daglig|N
28100020455|Eltroxin|1 tablet daglig|N
28100020455|Eltroxin|3 tabletter 1 gang daglig|N
28100076255|Aspirin|1 tablet 3 gange daglig|S
28100076255|Aspirin|2 tabletter 3 gange daglig|S
28100076255|Aspirin|1 tablet efter behov, hÃ¸jst 8 gange daglig|S
28100076255|Aspirin|2 tabletter efter behov, hÃ¸jst 4 gange daglig|S
28100122055|Buscopan|1 tablet 3 gange daglig|S
28100122055|Buscopan|2 tabletter 3 gange daglig|S
28100137555|Salazopyrin|2 tabletter 2 gange daglig|S
28100137555|Salazopyrin|2 tabletter 4 gange daglig|S
28100137555|Salazopyrin|2 tabletter 3 gange daglig|S
28100142255|Phenergan|10 ml 2 gange daglig|S
28100142255|Phenergan|15 ml 2 gange daglig|S
28100142255|Phenergan|5 ml 2 gange daglig|S
28100187056|Ritalin|2 tabletter 2 gange daglig|S
28100187056|Ritalin|1 tablet 2 gange daglig|S
28100187056|Ritalin|1 tablet daglig|S
28100187056|Ritalin|1/2 tablet 2 gange daglig|S
28100187056|Ritalin|1/2 tablet daglig|S
28100187056|Ritalin|1 tablet 3 gange daglig|S
28100187056|Ritalin|2 tabletter 3 gange daglig|S
28100187056|Ritalin|1/2 tablet 3 gange daglig|S
28100259658|Plaquenil|2 tabletter 1 gang daglig|S
28100259658|Plaquenil|4 tabletter 1 gang daglig|S
28100259658|Plaquenil|1 tablet daglig|S
28100259658|Plaquenil|2 tabletter daglig i 1 dage, herefter 6 dages pause|S
28100259658|Plaquenil|1 tablet mandag hver uge, 1 uge før ankomst til 4 uger efter afrejse|S
28100286458|Terramycin-Polymyxin B|2 striber 4 gange daglig, 1 i hvert øje|S
28100286458|Terramycin-Polymyxin B|2 striber fÃ¸r sengetid, 1 i hvert øje|S
28100286458|Terramycin-Polymyxin B|2 striber 3 gange daglig, 1 i hvert øje|S
28100289759|Antabus|1/2 brusetablet daglig|S
28100289759|Antabus||S
28100289759|Antabus|2 brusetabletter mandag og torsdag hver uge|S
28100312259|Klyx|1 rektaltube daglig|S
28100312259|Klyx|1 rektaltube efter behov, 15 min før virkning ønskes|S
28100312259|Klyx|1 rektaltube efter behov|S
28100312259|Klyx|1/2 rektaltube efter behov|S
28100312259|Klyx|1/2 rektaltube efter behov, 15 min før virkning ønskes|S
