drugid|pname|enhed_e|enhed_f|kode|iteration|type|mapning|tekst
28100010554|Marzine|tablet|tabletter||.| | | 
28100010554|Marzine|tablet|tabletter||1|N daglig|1;1;1| 
28100010554|Marzine|tablet|tabletter||0|PN|0.5|, 1 time før virkning ønskes
28100010554|Marzine|tablet|tabletter||0|PN|1|, 1 time før virkning ønskes
28100020455|Eltroxin|tablet|tabletter||0|FT|Dosering efter skriftlig anvisning| 
28100020455|Eltroxin|tablet|tabletter||1|N daglig|2| 
28100020455|Eltroxin|tablet|tabletter||1|N daglig|1| 
28100020455|Eltroxin|tablet|tabletter||1|N daglig|3| 
28100049555|Heparin "Leo"|ml|ml||.| | | 
28100076255|Aspirin|tablet|tabletter||.| | | 
28100076255|Aspirin|tablet|tabletter||1|N daglig|1;1;1| 
28100076255|Aspirin|tablet|tabletter||1|N daglig|2;2;2| 
28100076255|Aspirin|tablet|tabletter||1|PN|1;1;1;1;1;1;1;1| 
28100076255|Aspirin|tablet|tabletter||1|PN|2;2;2;2| 
28100110949|Xylocain|ml|ml||.| | | 
28100111155|Xylocain-adrenalin|ml|ml||.| | | 
28100122055|Buscopan|tablet|tabletter||.| | | 
28100122055|Buscopan|tablet|tabletter||1|N daglig|1;1;1| 
28100122055|Buscopan|tablet|tabletter||1|N daglig|2;2;2| 
28100137555|Salazopyrin|tablet|tabletter||.| | | 
28100137555|Salazopyrin|tablet|tabletter||1|N daglig|2;2| 
28100137555|Salazopyrin|tablet|tabletter||1|N daglig|2;2;2;2| 
28100137555|Salazopyrin|tablet|tabletter||1|N daglig|2;2;2| 
28100142255|Phenergan|ml|ml||.| | | 
28100142255|Phenergan|ml|ml||1|N daglig|10;10| 
28100142255|Phenergan|ml|ml||1|N daglig|15;15| 
28100142255|Phenergan|ml|ml||1|N daglig|5;5| 
28100165055|Solu-cortef|mg|mg||.| | | 
28100187056|Ritalin|tablet|tabletter||.| | | 
28100187056|Ritalin|tablet|tabletter||1|N daglig|2;2| 
28100187056|Ritalin|tablet|tabletter||1|N daglig|1;1| 
28100187056|Ritalin|tablet|tabletter||1|N daglig|1| 
28100187056|Ritalin|tablet|tabletter||1|N daglig|0.5;0.5| 
28100187056|Ritalin|tablet|tabletter||1|N daglig|0.5| 
28100187056|Ritalin|tablet|tabletter||1|N daglig|1;1;1| 
28100187056|Ritalin|tablet|tabletter||1|N daglig|2;2;2| 
28100187056|Ritalin|tablet|tabletter||1|N daglig|0.5;0.5;0.5| 
28100245657|Syntocinon|ml|ml||.| | | 
28100245757|Medrol|tablet|tabletter||.| | | 
28100259658|Plaquenil|tablet|tabletter||.| | | 
28100259658|Plaquenil|tablet|tabletter||.| | | 
28100259658|Plaquenil|tablet|tabletter||1|N daglig|2| 
28100259658|Plaquenil|tablet|tabletter||1|N daglig|4| 
28100259658|Plaquenil|tablet|tabletter||1|N daglig|1| 
28100259658|Plaquenil|tablet|tabletter||7|N daglig|2|, 1 uge før ankomst til 4 uger efter afrejse
28100259658|Plaquenil|tablet|tabletter||7|N daglig|1|, 1 uge før ankomst til 4 uger efter afrejse
28100286458|Terramycin-Polymyxin B|stribe|striber||1|N daglig|2;2;2;2|, 1 i hvert øje
28100286458|Terramycin-Polymyxin B|stribe|striber||1|M+M+A+N|0+0+0+2|, 1 i hvert øje
28100286458|Terramycin-Polymyxin B|stribe|striber||1|N daglig|2;2;2|, 1 i hvert øje
28100289759|Antabus|brusetablet|brusetabletter||.| | | 
28100289759|Antabus|brusetablet|brusetabletter||1|N daglig|0.5| 
28100289759|Antabus|brusetablet|brusetabletter||7|N daglig|dag 1: 1 dag 4: 4| 
28100289759|Antabus|brusetablet|brusetabletter||7|N daglig|dag 1: 2 dag 4: 2| 
28100312259|Klyx|rektaltube|rektaltuber||1|N daglig|1| 
28100312259|Klyx|rektaltube|rektaltuber||0|PN|1|, 15 min før virkning ønskes
28100312259|Klyx|rektaltube|rektaltuber||0|PN|1| 
28100312259|Klyx|rektaltube|rektaltuber||0|PN|0.5| 
28100312259|Klyx|rektaltube|rektaltuber||0|PN|0.5|, 15 min før virkning ønskes
28100323959|Depo-medrol|ml|ml||.| | | 
28100327560|Centyl med Kaliumklorid|tablet|tabletter||0|FT|Dosering efter skriftlig anvisning| 
28100327560|Centyl med Kaliumklorid|tablet|tabletter||1|M+M+A+N|2+0+2| 
28100327560|Centyl med Kaliumklorid|tablet|tabletter||1|M+M+A+N|1+0+1| 
28100327560|Centyl med Kaliumklorid|tablet|tabletter||1|N daglig|2| 
28100327560|Centyl med Kaliumklorid|tablet|tabletter||1|N daglig|1| 
28100335260|Xylocain|pust|pust||0|PN|1| 
28100368661|Saroten|tablet|tabletter||.| | | 
28100368661|Saroten|tablet|tabletter||1|N daglig|1;1| 
28100368661|Saroten|tablet|tabletter||1|N daglig|1;1;1| 
28100368661|Saroten|tablet|tabletter||1|M+M+A+N|0+0+0+2| 
28100368661|Saroten|tablet|tabletter||1|M+M+A+N|0+0+0+3| 
28100385861|Proctosedyl|påsmøring|påsmøringer||.| | | 
28100385861|Proctosedyl|påsmøring|påsmøringer||1|N daglig|1;1| 
28100385861|Proctosedyl|påsmøring|påsmøringer||1|N daglig|1;1;1| 
28100399462|Fucidin|tablet|tabletter||.| | | 
28100399462|Fucidin|tablet|tabletter||1|N daglig|2;2| 
28100399462|Fucidin|tablet|tabletter||1|N daglig|1;1| 
28100399462|Fucidin|tablet|tabletter||1|N daglig|1;1;1| 
28100399462|Fucidin|tablet|tabletter||1|N daglig|2;2;2| 
28100405762|Sofradex|dråbe|dråber||.| | | 
28100405762|Sofradex|dråbe|dråber||1|N daglig|1;1;1|i højre øje
28100405762|Sofradex|dråbe|dråber||1|N daglig|1;1;1|i venstre øje
28100405762|Sofradex|dråbe|dråber||1|N daglig|2;2;2|, 1 i hvert øje
28100405762|Sofradex|dråbe|dråber||1|N daglig|1;1;1;1;1;1|i højre øje
28100405762|Sofradex|dråbe|dråber||1|N daglig|1;1;1;1;1;1|i venstre øje
28100405762|Sofradex|dråbe|dråber||1|N daglig|2;2;2;2;2;2|, 1 i hvert øje
28100405762|Sofradex|dråbe|dråber||1|N daglig|1;1;1;1|i højre øje
28100405762|Sofradex|dråbe|dråber||1|N daglig|1;1;1;1|i venstre øje
28100405762|Sofradex|dråbe|dråber||1|N daglig|2;2;2;2|, 1 i hvert øje
28100405762|Sofradex|dråbe|dråber||1|N daglig|3;3;3|i det inficerede øre
28100405762|Sofradex|dråbe|dråber||1|N daglig|3;3;3;3|i det inficerede øre
28100405762|Sofradex|dråbe|dråber||1|N daglig|4;4;4|i det inficerede øre
28100405762|Sofradex|dråbe|dråber||1|N daglig|4;4;4;4|i det inficerede øre
28100405762|Sofradex|dråbe|dråber||1|N daglig|2;2;2|i øret
28100405762|Sofradex|dråbe|dråber||1|N daglig|2;2;2|i øret
28100405762|Sofradex|dråbe|dråber||.| | | 
28100408962|Microlax|rektaltube|rektaltuber||1|N daglig|1| 
28100408962|Microlax|rektaltube|rektaltuber||0|PN|1|, 15 min før virkning ønskes
28100408962|Microlax|rektaltube|rektaltuber||0|PN|1| 
28100408962|Microlax|rektaltube|rektaltuber||0|PN|0.5| 
28100408962|Microlax|rektaltube|rektaltuber||0|PN|0.5|, 15 min før virkning ønskes
28100410862|GlucaGen|ml|ml||.| | | 
28100420262|Florinef|tablet|tabletter||1|N daglig|2| 
28100420262|Florinef|tablet|tabletter||1|N daglig|1| 
28100420262|Florinef|tablet|tabletter||1|N daglig|0.5| 
28100420262|Florinef|tablet|tabletter||1|N daglig|1.5| 
28100435763|Provera|tablet|tabletter||.| | | 
28100435763|Provera|tablet|tabletter||28|N daglig|dag 1: 2 dag 2: 2 dag 3: 2 dag 4: 2 dag 5: 2 dag 6: 2 dag 7: 2 dag 8: 2 dag 9: 2 dag 10: 2|optimalt fra 15.-24. cyklusdag
