ReleaseNumber|Code|TextSingular|TextPlural
35|1|ampul|ampuller
35|2|applikatordosis|applikatordoser
35|3|beholder|beholdere
35|4|brev|breve
35|5|brusetablet|brusetabletter
35|6|dosis|doser
35|7|dråbe|dråber
35|8|engangssprøjte|engangssprøjter
35|9|enhed|enheder
35|10|flaske|flasker
35|11|gram|gram
35|12|hætteglas|hætteglas
35|13|IE|IE
35|14|implantat|implantater
35|15|indgnidning|indgnidninger
35|16|inhalationskapsel|inhalationskapsler
35|17|injektionspen|injektionspenne
35|18|injektionssprøjte|injektionssprøjter
35|19|kapsel|kapsler
35|20|mg|mg
35|21|mikrogram|mikrogram
35|22|ml|ml
35|23|måleske|måleskeer
35|24|pensling|penslinger
35|25|plaster|plastre
35|26|pump|pump
35|27|pust|pust
35|28|påføring|påføringer
35|29|påsmøring|påsmøringer
35|30|rektal stikpille|rektale stikpiller
35|31|rektaltube|rektaltuber
35|32|resoriblet|resoribletter
35|33|spiral|spiraler
35|34|sprøjte til munden|sprøjter til munden
35|35|stribe|striber
35|36|sug|sug
35|37|sugetablet|sugetabletter
35|38|sæt breve A+B|sæt breve A+B
35|39|tablet|tabletter
35|40|tyggegummi|tyggegummier
35|41|tyggetablet|tyggetabletter
35|42|vaginalindlæg|vaginalindlæg
35|43|vaginaltablet|vaginaltabletter
35|44|vagitorie|vagitorier
35|45|vask|vask
