ReleaseNumber|DrugId|DosageStructureCode
35|28100010554|1
35|28100010554|2
35|28100010554|3
35|28100020455|4
35|28100020455|5
35|28100020455|6
35|28100020455|7
35|28100076255|1
35|28100076255|8
35|28100076255|9
35|28100076255|10
35|28100122055|1
35|28100122055|8
35|28100137555|11
35|28100137555|12
35|28100137555|8
35|28100142255|13
35|28100142255|14
35|28100142255|15
35|28100187056|11
35|28100187056|16
35|28100187056|6
35|28100187056|17
35|28100187056|18
35|28100187056|1
35|28100187056|8
35|28100187056|19
35|28100259658|5
35|28100259658|20
35|28100259658|6
35|28100259658|21
35|28100259658|22
35|28100286458|23
35|28100286458|24
35|28100286458|25
35|28100289759|26
35|28100289759|27
35|28100289759|28
35|28100312259|29
35|28100312259|30
35|28100312259|31
35|28100312259|32
35|28100312259|33
35|28100327560|4
35|28100327560|34
35|28100327560|35
35|28100327560|5
35|28100327560|6
35|28100335260|36
35|28100368661|16
35|28100368661|1
35|28100368661|37
35|28100368661|38
35|28100385861|39
35|28100385861|40
35|28100399462|11
35|28100399462|16
35|28100399462|1
35|28100399462|8
35|28100405762|41
35|28100405762|42
35|28100405762|43
35|28100405762|44
35|28100405762|45
35|28100405762|46
35|28100405762|47
35|28100405762|48
35|28100405762|49
35|28100405762|50
35|28100405762|51
35|28100405762|52
35|28100405762|53
35|28100405762|54
35|28100405762|54
35|28100408962|29
35|28100408962|30
35|28100408962|31
35|28100408962|32
35|28100408962|33
35|28100420262|5
35|28100420262|6
35|28100420262|18
35|28100420262|55
35|28100435763|56
35|28100435763|57
35|28100435763|56
35|28100439163|5
35|28100439163|6
35|28100439163|7
35|28100445563|11
35|28100445563|16
35|28100454364|11
35|28100454364|16
35|28100454364|1
35|28100454364|8
35|28100454364|58
35|28100457064|40
35|28100457064|39
35|28100457064|59
35|28100457064|60
35|28100466264|61
35|28100466264|62
35|28100474265|40
35|28100474265|39
35|28100478565|16
35|28100478565|6
35|28100478565|1
35|28100487965|41
35|28100487965|42
35|28100487965|43
35|28100487965|44
35|28100487965|45
35|28100487965|46
35|28100487965|47
35|28100487965|48
35|28100487965|49
35|28100493671|34
35|28100493671|35
35|28100493671|5
35|28100493671|6
35|28100493671|63
35|28100493671|64
35|28100520967|16
35|28100520967|65
35|28100520967|1
35|28100520967|8
35|28100526567|16
35|28100526567|17
35|28100528167|16
35|28100528167|1
35|28100533567|11
35|28100533567|16
35|28100533567|1
35|28100533567|8
35|28100533567|58
35|28100552969|66
35|28100552969|67
35|28100552969|68
35|28100552969|69
35|28100559669|70
35|28100559669|71
35|28100559669|72
35|28100559669|73
35|28100565569|74
35|28100573870|67
35|28100573870|75
35|28100573870|76
35|28100573870|77
35|28100573870|75
35|28100575570|5
35|28100575570|6
35|28100575570|78
35|28100575570|5
35|28100575570|7
35|28100575670|16
35|28100575670|6
35|28100579370|16
35|28100579370|6
35|28100579370|1
35|28100582370|5
35|28100582370|20
35|28100582370|6
35|28100583070|16
35|28100583070|6
35|28100583070|1
35|28100583770|39
35|28100583870|79
35|28100590071|80
35|28100590071|81
35|28100590071|82
35|28100590071|83
35|28100594371|11
35|28100594371|16
35|28100594371|6
35|28100594371|18
35|28100594371|1
35|28100594371|8
35|28100599671|39
35|28100599671|59
35|28100607472|1
35|28100607472|8
35|28100607472|19
35|28100608672|84
35|28100608672|85
35|28100609972|1
35|28100609972|8
35|28100611372|11
35|28100611372|16
35|28100611372|17
35|28100611372|1
35|28100611372|8
35|28100611372|19
35|28100612972|5
35|28100612972|6
35|28100612972|18
35|28100612972|55
35|28100612972|7
35|28100615172|40
35|28100615172|39
35|28100615172|59
35|28100615172|60
35|28100615372|86
35|28100615372|87
35|28100615372|13
35|28100615372|88
35|28100616672|1
35|28100616672|8
35|28100620972|11
35|28100620972|16
35|28100620972|65
35|28100620972|1
35|28100622372|1
35|28100622372|8
35|28100622372|58
35|28100622372|19
35|28100627873|13
35|28100627873|15
35|28100627873|86
35|28100627873|89
35|28100627873|90
35|28100631373|16
35|28100631373|1
35|28100631373|8
35|28100631373|19
35|28100631373|91
35|28100631373|92
35|28100631773|1
35|28100631773|8
35|28100631773|19
35|28100632573|39
35|28100632573|59
35|28100632673|39
35|28100632673|59
