DrugId|Drugname|ShortTranslation
28100009555|Kemadrin|1/2 tablet 3 gange daglig|S
28100009555|Kemadrin|1 tablet 3 gange daglig|S
28100009555|Kemadrin|2 tabletter 3 gange daglig|S
28100009555|Kemadrin|3 tabletter 3 gange daglig|S
28100010554|Marzine|1/2 tablet efter behov, 1 time før virkning ønskes|S
28100010554|Marzine|1 tablet efter behov, 1 time før virkning ønskes|S
28100010554|Marzine|1 tablet 3 gange daglig|S
28100020455|Eltroxin|1 tablet daglig|N
28100020455|Eltroxin|2 tabletter 1 gang daglig|N
28100021255|Postafen|1/2 tablet efter behov, 1 time før virkning ønskes|S
28100021255|Postafen|2 tabletter efter behov, 1 time før virkning ønskes|S
28100021255|Postafen|1 tablet efter behov, 1 time før virkning ønskes|S
28100042855|Methergin|1 tablet 3 gange daglig|S
28100042855|Methergin|2 tabletter 3 gange daglig|S
28100049355|Hydrocortison med Terramycin|1 påsmøring 2 gange daglig|S
28100049355|Hydrocortison med Terramycin|1 påsmøring 2 gange daglig i det inficerede øre|S
28100049355|Hydrocortison med Terramycin|1 påsmøring 2 gange daglig i det inficerede øre|S
28100049355|Hydrocortison med Terramycin|1 påsmøring 3 gange daglig|S
28100049355|Hydrocortison med Terramycin|1 påsmøring 2 gange daglig i det inficerede øre|S
28100049355|Hydrocortison med Terramycin|1 påsmøring efter behov|S
28100052255|Terramycin-Polymyxin B|1 påsmøring efter behov|S
28100074555|Paraghurt|1 tablet 2 gange daglig|S
28100074555|Paraghurt|2 tabletter 2 gange daglig|S
28100074555|Paraghurt|3 tabletter 2 gange daglig|S
28100076255|Aspirin|2 tabletter 3 gange daglig|S
28100076255|Aspirin|1 tablet 3 gange daglig|S
28100076255|Aspirin|2 tabletter efter behov, højst 4 gange daglig|S
28100076255|Aspirin|1 tablet efter behov, højst 8 gange daglig|S
28100096555|Neo-mercazole|1 tablet 2 gange daglig|S
28100096555|Neo-mercazole|1 tablet daglig|S
28100096555|Neo-mercazole|2 tabletter 2 gange daglig|S
28100096555|Neo-mercazole|1 tablet 3 gange daglig|S
28100103155|Hirudoid|1 påsmøring 3 gange daglig|S
28100103155|Hirudoid|1 påsmøring 2 gange daglig|S
28100105055|Inotyol|1 påsmøring efter behov|S
28100105055|Inotyol|1 påsmøring daglig|S
28100105055|Inotyol|1 påsmøring 2 gange daglig|S
28100107155|Benylan|5 ml 3 gange daglig|S
28100107155|Benylan|2,5 ml 4 gange daglig|S
28100107155|Benylan|10 ml efter behov, højst 5 gange daglig ved hoste|S
28100107155|Benylan|2,5 ml 3 gange daglig|S
28100107155|Benylan|5 ml 4 gange daglig|S
28100107155|Benylan|10 ml 2 gange daglig|S
28100107155|Benylan|10 ml 4 gange daglig|S
28100122055|Buscopan|2 tabletter 3 gange daglig|S
28100122055|Buscopan|1 tablet 3 gange daglig|S
28100137555|Salazopyrin|2 tabletter 3 gange daglig|S
28100137555|Salazopyrin|2 tabletter 4 gange daglig|S
28100137555|Salazopyrin|2 tabletter 2 gange daglig|S
28100142255|Phenergan|15 ml 2 gange daglig|S
28100142255|Phenergan|5 ml 2 gange daglig|S
28100142255|Phenergan|10 ml 2 gange daglig|S
28100185956|Arcosal|1 tablet 2 gange daglig|S
28100185956|Arcosal|1 tablet 3 gange daglig|S
28100185956|Arcosal|1 tablet daglig|S
28100185956|Arcosal|2 tabletter 2 gange daglig|S
28100186556|Silan|1 påsmøring efter behov|S
28100187056|Ritalin|1/2 tablet daglig|S
28100187056|Ritalin|2 tabletter 2 gange daglig|S
28100187056|Ritalin|1 tablet 2 gange daglig|S
28100187056|Ritalin|1 tablet 3 gange daglig|S
28100187056|Ritalin|1/2 tablet 2 gange daglig|S
28100187056|Ritalin|1 tablet daglig|S
28100187056|Ritalin|1/2 tablet 3 gange daglig|S
28100187056|Ritalin|2 tabletter 3 gange daglig|S
28100225957|Perilax|1 tablet aften|S
28100225957|Perilax|1 tablet daglig|S
28100225957|Perilax|2 tabletter aften|S
28100225957|Perilax|2 tabletter 1 gang daglig|S
28100230857|Ultracortenol|1 stribe 2 gange daglig i begge øjne|S
28100230857|Ultracortenol|1 stribe før sengetid i begge øjne|S
28100230857|Ultracortenol|1 stribe 3 gange daglig i begge øjne|S
28100230857|Ultracortenol|1 stribe 4 gange daglig i begge øjne|S
28100231857|Akineton|1 tablet 3 gange daglig|S
28100231857|Akineton|1/2 tablet 3 gange daglig|S
28100231857|Akineton|2 tabletter 3 gange daglig|S
28100232757|Dulcolax|2 tabletter aften|S
28100232757|Dulcolax|1 tablet aften|S
28100232757|Dulcolax|1 tablet daglig|S
28100232757|Dulcolax|2 tabletter 1 gang daglig|S
28100234057|Stemetil|2 tabletter 3 gange daglig|S
28100234057|Stemetil|1 tablet 3 gange daglig|S
28100259658|Plaquenil|2 tabletter 1 gang daglig|S
28100259658|Plaquenil|1 tablet daglig|S
28100259658|Plaquenil|2 tabletter daglig i 1 dage, herefter 6 dages pause|S
28100259658|Plaquenil|1 tablet mandag hver uge, 1 uge før ankomst til 4 uger efter afrejse|S
28100259658|Plaquenil|4 tabletter 1 gang daglig|S
28100280558|Noacid|2 tabletter 6 gange daglig|S
28100280558|Noacid|2 tabletter 4 gange daglig|S
28100280558|Noacid|2 tabletter 2 gange daglig|S
28100280558|Noacid|2 tabletter efter behov|S
28100286458|Terramycin-Polymyxin B|1 stribe 3 gange daglig i begge øjne|S
28100286458|Terramycin-Polymyxin B|1 stribe før sengetid i begge øjne|S
28100286458|Terramycin-Polymyxin B|1 stribe 4 gange daglig i begge øjne|S
28100289759|Antabus|1/2 brusetablet daglig|S
28100289759|Antabus||S
28100289759|Antabus|2 brusetabletter mandag og torsdag hver uge|S
28100304259|Serenase|5 ml 3 gange daglig|S
28100304259|Serenase|1 ml 2 gange daglig|S
28100304259|Serenase|2 ml 3 gange daglig|S
28100304259|Serenase|10 ml 1 gang daglig|S
28100304259|Serenase|1 ml daglig|S
28100315259|Syntocinon|1 pust efter behov før amning|S
28100320959|Dulcolax|1 rektal stikpille daglig|S
28100320959|Dulcolax|1 rektal stikpille efter behov, 15 min før virkning ønskes|S
28100320959|Dulcolax|1/2 rektal stikpille efter behov i endetarmen, 15 min virkning ønskes|S
28100320959|Dulcolax|1/2 rektal stikpille daglig i endetarmen|S
28100327560|Centyl med Kaliumklorid|1 tablet daglig|N
28100327560|Centyl med Kaliumklorid|1 tablet 2 gange daglig|N
28100327560|Centyl med Kaliumklorid|2 tabletter 1 gang daglig|N
28100327560|Centyl med Kaliumklorid|2 tabletter 2 gange daglig|N
28100327860|Nozinan|2 tabletter 3 gange daglig|S
28100327860|Nozinan|1 tablet 3 gange daglig|S
28100329660|Marplan|2 tabletter morgen|S
28100329660|Marplan|3 tabletter morgen|S
28100330160|Regenon|1 kapsel morgen, middag og aften senest 30-60 min før et hovedmåltid|S
28100335260|Xylocain|1 pust efter behov|S
28100338960|Ercoril|1 tablet 3 gange daglig|S
